TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,137003,137003,1,Priddy Caves,Priddy Caves,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.7611,0.760038513956,Not Applicable,0,Designated,1988,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,136628,136628,1,Great Cressingham Fen,Great Cressingham Fen,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.1433,0.143076543827,Not Applicable,0,Designated,1988,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,966,966,1,Dartmoor,Dartmoor,National Park,National Park,National,V,Not Applicable,0,0,0,956.0272,954.795096087,Not Applicable,0,Designated,1951,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,962,962,1,North York Moors,North York Moors,National Park,National Park,National,V,Not Applicable,0,0,2.44664516872,1441.936,1438.84087457,Not Applicable,0,Designated,1952,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,965,965,1,Northumberland,Northumberland,National Park,National Park,National,V,Not Applicable,0,0,0,1051.706,1049.23831804,Not Applicable,0,Designated,1956,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,959,959,1,Lake District,Lake District,National Park,National Park,National,V,Not Applicable,0,0,10.4631850196,2363.855,2358.73265063,Not Applicable,0,Designated,1951,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,138619,138619,1,Sturry Pit,Sturry Pit,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.0068,0.00677776880448,Not Applicable,0,Designated,1991,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,11022,11022,1,Winterton Dunes,Winterton Dunes,National Nature Reserve,National Nature Reserve,National,IV,Not Applicable,0,0,0,0.8442477,0.842090504741,Not Applicable,0,Designated,1956,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,11023,11023,1,Woodwalton Fen,Woodwalton Fen,National Nature Reserve,National Nature Reserve,National,IV,Not Applicable,0,0,0,2.090491,2.08768068537,Not Applicable,0,Designated,1954,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,11024,11024,1,Wren'S Nest,Wren'S Nest,National Nature Reserve,National Nature Reserve,National,IV,Not Applicable,0,0,0,0.3414486,0.34110950044,Not Applicable,0,Designated,1956,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,11025,11025,1,Wybunbury Moss,Wybunbury Moss,National Nature Reserve,National Nature Reserve,National,IV,Not Applicable,0,0,0,0.1581483,0.157969081561,Not Applicable,0,Designated,1955,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,11026,11026,1,Wychwood,Wychwood,National Nature Reserve,National Nature Reserve,National,IV,Not Applicable,0,0,0,2.633685,2.63140501267,Not Applicable,0,Designated,1955,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,1461,1461,1,Bridgwater Bay,Bridgwater Bay,National Nature Reserve,National Nature Reserve,National,IV,Not Applicable,2,0,24.7592036898,26.39104,26.369168236,Not Reported,0,Designated,1954,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,137297,137297,1,Hothfield Common,Hothfield Common,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.5648,0.563982472347,Not Applicable,0,Designated,1985,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,138656,138656,1,Brent Reservoir,Brent Reservoir,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.6939,0.692896457275,Not Applicable,0,Designated,1985,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
Polygon,138674,138674,1,Crofton Woods,Crofton Woods,Site Of Special Scientific Interest (Uk),Site Of Special Scientific Interest (Gb),National,IV,Not Applicable,0,0,0,0.7962,0.79507197403,Not Applicable,0,Designated,1989,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,1839,Not Reported,GBR,GBR,Not Applicable,Not Applicable
